Index,Price
2411,39545
2413,28551
2416,14436
2417,18190
2418,26000
2419,14583
2420,19759
2421,32000
2422,16667
2424,20301
2425,8673
2426,16266
2427,17284
2428,16558
2429,43902
2430,14146
2431,34456
2433,23000
2434,26000
2435,17056
2436,20000
2437,35714
2438,15217
2439,13333
2440,23077
2441,16981
2442,13094
2443,6796
2444,8119
2445,10732
2446,18824
2447,21875
2448,7600
2449,36667
2450,25000
2451,40000
2452,6410
2453,14252
2454,16087
2456,31667
2457,13333
2458,34416
2459,22222
2460,16438
2461,6233
2462,19231
2463,16344
2464,70000
2465,53846
2466,34815
2467,14500
2468,30270
2469,18500
2470,42000
2471,19125
2472,22222
2473,30000
2475,39062
2476,21200
2477,31447
2478,19242
2479,23571
2480,46000
2481,39130
2482,13889
2483,16544
2484,15918
2485,20234
2486,25263
2487,13986
2488,13182
2489,15625
2490,14365
2491,23091
2492,21053
2493,23497
2494,20536
2495,46667
2496,27841
2497,18410
2499,10000
2500,26000
2501,38889
2502,32222
2503,18033
2504,13333
2505,17273
2506,31439
2507,15079
2508,12333
2510,41413
2511,48000
2512,6629
2513,30714
2514,25385
2515,18857
2516,13167
2517,28082
2518,38750
2519,27692
2520,34091
2521,18182
2522,29187
2523,26667
2524,15862
2525,23533
2526,46196
2527,22235
2528,55000
2529,32432
2530,18667
2531,12571
2532,18500
2533,40625
2534,25000
2535,21176
2536,14368
2537,17815
2538,3493
2543,17810
2544,30222
2545,27407
2546,16000
2547,20000
2548,21087
2549,11527
2550,10280
2551,17917
2552,17054
2553,17209
2554,17209
2555,17209
2556,40000
2557,15213
2558,7767
2560,56667
2561,22222
2563,12590
2564,50977
2565,25455
2566,31250
2567,15758
2568,10000
2570,5000
2571,27157
2572,22222
2573,31385
2574,20923
2575,11053
2576,26991
2577,23256
2578,17241
2579,33846
2580,26408
2581,28340
2582,12778
2583,13599
2584,14412
2585,14815
2586,5688
2587,22198
2588,6364
2589,20400
2590,25054
2591,21500
2592,14412
2593,25547
2594,16923
2595,27176
2596,9893
2597,21636
2598,15826
2599,28571
2600,55000
2601,47767
2602,14200
2603,11934
2604,13141
2605,19394
2606,12604
2607,22600
2608,48933
2609,18750
2611,31467
2612,37500
2613,41667
2614,16841
2615,20000
2617,22619
2618,3911
2619,24667
2620,12788
2621,3251
2622,7090
2623,9877
2624,6111
2625,3448
2626,3889
2627,6391
2628,4167
2629,5455
2630,6250
2631,7828
2632,5812
2633,4701
2634,3517
2635,4985
2636,5279
2637,5508
2638,4146
2639,3660
2640,2891
2641,6501
2642,5314
2643,3434
2644,4854
2645,4348
2646,3472
2647,4615
2648,4321
2649,5658
2650,3472
2651,4138
2652,7143
2653,3614
2654,3226
2655,4722
2657,3419
2658,3530
2659,4068
2660,2889
2661,10000
2663,4667
2664,4400
2665,5427
2666,4246
2667,4222
2669,3000
2670,6627
2671,3800
2672,6329
2673,6818
2674,7143
2675,2692
2676,6511
2677,4227
2678,6667
2679,3958
2680,5405
2681,3434
2682,4167
2683,3000
2684,3360
2685,4374
2686,4981
2687,3744
2688,3895
2689,5592
2690,5310
2691,4700
2693,6566
2694,6126
2695,4348
2696,6410
2697,3752
2698,3333
2699,4202
2700,8321
2701,4746
2702,4833
2703,2893
2704,4495
2705,6006
2706,5023
2707,4437
2708,6471
2710,7619
2711,7508
2713,5361
2714,6341
2715,6301
2716,6494
2717,6585
2718,6429
2719,7090
2720,4859
2721,6879
2722,7211
2723,4769
2724,6878
2725,5037
2726,5287
2727,5387
2728,5333
2729,3566
2730,4365
2732,4122
2734,7229
2735,6905
2736,5000
2737,5753
2738,5763
2739,4493
2740,9169
2741,6111
2742,7000
2743,7619
